employee_id,leave_type,no_of_leaves,monthly_limit,total_leaves_taken,remaining_leaves,over_utilized,unused_leaves
3272,Eid-ul-Fitr (Optional),0,,0,0,0,0
3272,Eid-Ul-Zuha (Optional),1,,1,0,0,0
3272,Rakha Bandhan (Optional),1,,1,0,0,0
3272,Half Day (Comp-Off),0,,0,0,0,0
3353,Comp-Off,0,,0,0,0,0
3353,Unpaid Leaves,0,,6.5,0,0,-6.5
3353,Eid-ul-Fitr (Optional),0,,0,0,0,0
3353,Eid-Ul-Zuha (Optional),0,,0,0,0,0
3353,Rakha Bandhan (Optional),0,,0,0,0,0
3353,Half Day (Comp-Off),0,,0,0,0,0
3358,Comp-Off,2,,2,0,0,0
3358,Unpaid Leaves,0,,0,0,0,0
3358,Eid-ul-Fitr (Optional),0,,0,0,0,0
3358,Eid-Ul-Zuha (Optional),1,,0,1,0,0
3358,Rakha Bandhan (Optional),1,,1,0,0,0
3358,Half Day (Comp-Off),0,,0,0,0,0
3361,Comp-Off,1,,0,1,0,0
3361,Unpaid Leaves,0,,3,0,0,-3
3361,Eid-ul-Fitr (Optional),0,,0,0,0,0
3361,Eid-Ul-Zuha (Optional),0,,0,0,0,0
3361,Rakha Bandhan (Optional),0,,0,0,0,0
3361,Half Day (Comp-Off),0,,0,0,0,0
3385,Comp-Off,0,,0,0,0,0
3385,Unpaid Leaves,0,,0,0,0,0
3385,Eid-ul-Fitr (Optional),0,,0,0,0,0
3385,Eid-Ul-Zuha (Optional),0,,0,0,0,0
3385,Rakha Bandhan (Optional),1,,0,1,0,0
3385,Half Day (Comp-Off),0,,0,0,0,0
3397,Comp-Off,0,,0,0,0,0
3397,Unpaid Leaves,0,,8,0,0,-8
3397,Eid-ul-Fitr (Optional),0,,0,0,0,0
3397,Eid-Ul-Zuha (Optional),0,,0,0,0,0
3397,Rakha Bandhan (Optional),0,,0,0,0,0
3397,Half Day (Comp-Off),0,,0,0,0,0
3413,Comp-Off,0,,0,0,0,0
3413,Unpaid Leaves,0,,1,0,0,-1
3413,Eid-ul-Fitr (Optional),0,,0,0,0,0
3413,Eid-Ul-Zuha (Optional),0,,0,0,0,0
3413,Rakha Bandhan (Optional),0,,0,0,0,0
3413,Half Day (Comp-Off),0,,0,0,0,0
3414,Comp-Off,0,,0,0,0,0
3414,Unpaid Leaves,0,,1,0,0,-1
3414,Eid-ul-Fitr (Optional),0,,0,0,0,0
3414,Eid-Ul-Zuha (Optional),0,,0,0,0,0
3414,Rakha Bandhan (Optional),0,,0,0,0,0
3414,Half Day (Comp-Off),0,,0,0,0,0
3415,Casual Leave,0,,0,0,0,0
3415,Sick Leave,0,,0,0,0,0
3415,Comp-Off,0,,0,0,0,0
3415,Unpaid Leaves,0,,1,0,0,-1
3415,Eid-ul-Fitr (Optional),0,,0,0,0,0
3415,Eid-Ul-Zuha (Optional),0,,0,0,0,0
3415,Rakha Bandhan (Optional),1,,1,0,0,0
3415,Half Day (Comp-Off),0,,0,0,0,0
3417,Comp-Off,0,,0,0,0,0
3417,Unpaid Leaves,0,,0,0,0,0
3417,Eid-ul-Fitr (Optional),0,,0,0,0,0
3417,Eid-Ul-Zuha (Optional),0,,0,0,0,0
3417,Rakha Bandhan (Optional),0.5,,0,0.5,0,0
3417,Half Day (Comp-Off),0,,0,0,0,0
3418,Casual Leave,5,,2,3,0,0
3418,Sick Leave,4,,1,3,0,0
3418,Comp-Off,0,,0,0,0,0
3418,Unpaid Leaves,0,,0,0,0,0
3418,Eid-ul-Fitr (Optional),0,,0,0,0,0
3418,Eid-Ul-Zuha (Optional),0,,0,0,0,0
3418,Rakha Bandhan (Optional),1,,0,1,0,0
3418,Half Day (Comp-Off),0,,0,0,0,0
3431,Casual Leave,8.5,,0,8.5,0,0
3431,Sick Leave,7,,0,7,0,0
3431,Comp-Off,0,,0,0,0,0
3431,Unpaid Leaves,0,,3,0,0,-3
3431,Eid-ul-Fitr (Optional),0,,0,0,0,0
3431,Eid-Ul-Zuha (Optional),0,,0,0,0,0
3431,Rakha Bandhan (Optional),1,,1,0,0,0
3431,Half Day (Comp-Off),0,,0,0,0,0
3450,Comp-Off,0,,0,0,0,0
3450,Unpaid Leaves,0,,0.5,0,0,-0.5
3450,Eid-ul-Fitr (Optional),0.5,,0,0.5,0,0
3450,Eid-Ul-Zuha (Optional),0.5,,0,0.5,0,0
3450,Rakha Bandhan (Optional),0.5,,0.5,0,0,0
3450,Half Day (Comp-Off),0,,0,0,0,0
3457,Comp-Off,0,,0,0,0,0
3457,Unpaid Leaves,0,,3.5,0,0,-3.5
3457,Eid-ul-Fitr (Optional),0.5,,0,0.5,0,0
3457,Eid-Ul-Zuha (Optional),0.5,,0,0.5,0,0
3457,Rakha Bandhan (Optional),0.5,,0,0.5,0,0
3457,Half Day (Comp-Off),0,,0,0,0,0
3458,Comp-Off,0,,0,0,0,0
3458,Unpaid Leaves,0,,1,0,0,-1
3458,Eid-ul-Fitr (Optional),0.5,,0,0.5,0,0
3458,Eid-Ul-Zuha (Optional),0.5,,0,0.5,0,0
3458,Rakha Bandhan (Optional),0.5,,0,0.5,0,0
3458,Half Day (Comp-Off),0,,0,0,0,0
3459,Comp-Off,0,,0,0,0,0
3459,Unpaid Leaves,0,,1,0,0,-1
3459,Eid-ul-Fitr (Optional),0.5,,0,0.5,0,0
3459,Eid-Ul-Zuha (Optional),0.5,,0,0.5,0,0
3459,Rakha Bandhan (Optional),0.5,,0,0.5,0,0
3459,Half Day (Comp-Off),0,,0,0,0,0
3460,Comp-Off,0,,0,0,0,0
3460,Unpaid Leaves,0,,1,0,0,-1
3460,Eid-ul-Fitr (Optional),0.5,,0,0.5,0,0
3460,Eid-Ul-Zuha (Optional),0.5,,0,0.5,0,0
3460,Rakha Bandhan (Optional),0.5,,0,0.5,0,0
3460,Half Day (Comp-Off),0,,0,0,0,0
3466,Comp-Off,0,,0,0,0,0
3466,Unpaid Leaves,0,,0.5,0,0,-0.5
3466,Eid-ul-Fitr (Optional),0.5,,0,0.5,0,0
3466,Eid-Ul-Zuha (Optional),0.5,,0,0.5,0,0
3466,Rakha Bandhan (Optional),0.5,,0.5,0,0,0
3478,Comp-Off,0,,0,0,0,0
